PLAYER_ID,PLAYER_NAME,TEAM
1628995,Kevin Knox II,GSW
1629022,Lonnie Walker IV,PHI
1641879,Yuri Collins,GSW
1629667,Jalen McDaniels,WAS
1641817,Anton Watson,BOS
1629011,Mitchell Robinson,NYK
1642443,Jahmir Young,CHI
1630201,Malachi Flynn,CHA
1628396,Tony Bradley,IND
1630284,Kevon Harris,ATL
1627746,Skal Labissiere,SAC
1642449,Tolu Smith,DET
1631123,Jamaree Bouyea,MIL
1641936,Miles Norris,BOS
1630623,Tyson Etienne,BKN
1630679,Ethan Thompson,ORL
1642379,Taran Armstrong,GSW
1630296,Braxton Key,GSW
200782,P.J. Tucker,NYK
1630585,Marcus Garrett,CHA
1629052,Oshae Brissett,PHI
1630678,Terry Taylor,SAC
1630542,Marcus Bagley,PHI
1641755,Kevin McCullar Jr.,NYK
1630762,Phillip Wheeler,PHI
1631166,Drew Timme,BKN
1631301,Jaylen Sims,CHA
1629056,Terence Davis,SAC
1630600,Isaiah Mobley,PHI
